ID;Pays;Taux;Mois;Montant;Niveau de risque;Emprunteur;capital social;année de création;Antériorité;effectifs;Nombre de mois de la période 15;Nombre de mois de la période 16;Nombre de mois de la période 17;Nombre de mois de la période 18;Chiffre d'Affaires 15;Chiffre d'Affaires 16;Chiffre d'Affaires 17;Chiffre d'Affaires 18;Evolution du Chiffre d'Affaires 15;Evolution du Chiffre d'Affaires 16;Evolution du Chiffre d'Affaires 17;Evolution du Chiffre d'Affaires 18;EBE(retraité des loyers de leasing) 15;EBE(retraité des loyers de leasing) 16;EBE(retraité des loyers de leasing) 17;EBE(retraité des loyers de leasing) 18;Marge d'EBE 15;Marge d'EBE 16;Marge d'EBE 17;Marge d'EBE 18;Resultat Net 15;Resultat Net 16;Resultat Net 17;Resultat Net 18;Total Bilan 15;Total Bilan 16;Total Bilan 17;Total Bilan 18;BFRE 15;BFRE 16;BFRE 17;BFRE 18;Capacité de remboursement (FCCR) 15;Capacité de remboursement (FCCR) 16;Capacité de remboursement (FCCR) 17;Capacité de remboursement (FCCR) 18;Fonds Propres 15;Fonds Propres 16;Fonds Propres 17;Fonds Propres 18;Fonds Propres / Total Bilan 15;Fonds Propres / Total Bilan 16;Fonds Propres / Total Bilan 17;Fonds Propres / Total Bilan 18;Passif circulant 15;Passif circulant 16;Passif circulant 17;Passif circulant 18;Actif immobilisé 15;Actif immobilisé 16;Actif immobilisé 17;Actif immobilisé 18;Actif circulant 15;Actif circulant 16;Actif circulant 17;Actif circulant 18;Dettes court terme 15;Dettes court terme 16;Dettes court terme 17;Dettes court terme 18;Dettes Moyen long terme 15;Dettes Moyen long terme 16;Dettes Moyen long terme 17;Dettes Moyen long terme 18;Dettes Nettes / EBE(* années) 15;Dettes Nettes / EBE(* années) 16;Dettes Nettes / EBE(* années) 17;Dettes Nettes / EBE(* années) 18;Dettes Nettes / Fonds propres 15;Dettes Nettes / Fonds propres 16;Dettes Nettes / Fonds propres 17;Dettes Nettes / Fonds propres 18;BFRE en nombre de jours de CA 15;BFRE en nombre de jours de CA 16;BFRE en nombre de jours de CA 17;BFRE en nombre de jours de CA 18
913490887;France;4,25 %;24;90 000 €;B+;SARL Hotelparissud.com;11 250 €;2010;2010;1 à 10;;12;12;12;;805;811;807;;N/A;0,75%;-0,49%;;20% - 25%;20% - 25%;20% - 25%;;;;;;5 - 10 %;5 - 10 %;5 - 10 %;;662;615;638;;;;;;1,65;1,70;0,64;;191;108;169;;28,85 %;17,56 %;26,49 %;;;;;;;;;;;;;;;;;;;;;;0,70*;0,31*;-0,13*;;63,35%;55,32%;-14,64%;;-29;-37;-63
35225669;Espagne;4,60 %;36;150 000 €;B+;Innovación y Desarrollo Gastronómico SL;19 000 €;2005;2009;1 à 10;;12;12;12;;4556;5632;6532;;NA;23,63%;15,98%;;197;170;323;;0% - 5%;0% - 5%;0% - 5%;;0 % - 5 %;0 % - 5 %;0 % - 5 %;;1270;1692;2035;;;;;;7,41;5,3;5,96;;414;534;774;;32,59%;31,58%;38,05%;;802;1113;1226;;13;10;10;;1257;1682;2026;;182;351;540;;44;35;174;;-0,44 *;0,60 *;1,12 *;;-21,19%;19,14%;46,63%;;;;
886822011;Italie;4,70 %;36;35 000 €;B+;Teknofluor;50 000 €;1983;2018;1 à 10;;12;12;12;;1 221;1 366;1 590;;N/A;11,90%;16,36%;;149;241;259;;10% - 15%;15% - 20%;15% - 20%;;0% - 5%;5% - 10%;5% - 10%;;1120773;1 175;1 217;;164;271;306;;1,07;1,85;1,77;;318;452;537;;28,34%;38,45%;44,16%;;484;515;543;;566;578;566;;554;594;649;;-;169;225;;-;149;81;;-0,35 *;1,14 *;1,03 *;;-0.17;0.61;0.5;;;;
837395796;Pays-Bas;5,80 %;48;1 000 000 €;B+;Filling Pieces;30 000 €;2009;2009;51 à 250;;12;21;12;;16469;28853;16188;;N/A;0.0011;-0.0182;;5% - 10%;5% - 10%;5% - 10%;;;;;;0 - 5 %;0 - 5 %;0 - 5 %;;8323;6002;3937;;;;;;14.88;10.37;6.14;;2276;1034;1214;;0.2735;0.1723;0.3084;;;;;;;;;;;;;;;;;;;;;;001*;001*;001*;;0.39;1.19;0.5;;83;74;43
700514695;Pays-Bas;5,50 %;36;350 000 €;B;Prosim Aviation Research;18 000 €;2011;2011;1 à 10;;12;12;12;;448;688;1017;;N/A;0.5357;0.4782;;35% - 40%;55% - 60%;50% - 55%;;;;;;10 - 15 %;25 - 30 %;10 - 15 %;;421;724;1066;;;;;;8.33;29.13;3.44;;227;400;704;;0.5392;0.5525;0.6604;;;;;;;;;;;;;;;;;;;;;;;;;;0.46;-0.03;0.12;;-18;33;46
634116400;"France
";5,75 %;48;83 000 €;B;Korsakoff;"10 000 €
";2017;2017;1 à 10;;;9;12;;;348;1617;;;N/A;248,49%;;;0% - 5%;10% - 15%;;;;;;;-1,44%;0 - 5 %;;;1159;1150;;;;;;;0,35;1,26;;;133;158;;;11,48 %;13,74 %;;;;;;;;;;;;;;;;;;;;;;;70,00*;2,21*;;;473,68%;322,15%;;;-133;-33
52690196;Italie;6,20 %;48;2 100 000 €;B;S.V;5 000 000 €;2012;2018;11 à 50;;12;12;12;;9 696;13 782;17 771;;N/A;42,15%;28,94%;;4 002;8 618;11 084;;40% - 45%;60% - 65%;60% - 65%;;0% - 5%;0% - 5%;5% - 10%;;11739138;17 419;20 486;;1 382;1 797;1 372;;1,14;1,04;1,23;;3 331;3 724;4 868;;28,38%;21,38%;23,76%;;14 747;22 453;24 900;;3 099;5 543;7 230;;5 139;7 531;7 558;;2 785;4 451;5 712;;7 631;11 034;11 103;;2,36 *;1,69 *;1,50 *;;2.84;3.91;3.42;;;;
124269298;Italie;6,20 %;48;210 000 €;B;Deca Engineering;30 000 €;2010;2010;51 à 250;;12;12;12;;2 039;2 734;3 638;;N/A;34,09%;33,07%;;317;546;925;;15% - 20%;15% - 20%;25% - 30%;;5% - 10%;15% - 20%;10% - 15%;;1493;2 476;2 689;;569;1 001;1 207;;3,89;4,18;3,97;;-35;178;511;;-2,34%;7,19%;19,00%;;-;1 270;1 120;;518;662;874;;900;1 780;1 790;;385;884;483;;250;419;668;;1,97 *;2,09 *;1,24 *;;-17,86;6,42;2,24;;;;
913899352;Italie;0.06;36;300 000 €;C;Ucinque;1 000 000 €;2014;2014;51 à 250;;12;12;12;;8 672;12 539;15 149;;N/A;44,59%;20,81%;386;1 134;1 381;;;0% - 5%;5% - 10%;5% - 10%;;0% - 5%;0% - 5%;0% - 5%;;8845914;10 182;16 550;;1 832;1 720;3 544;;0,54;1,28;1,32;;517;919;4 341;;5,85%;9,03%;26,23%;;6 708;7 054;11 910;;2 251;6 394;7 858;;6 551;6 675;8 640;;2 316;2 549;4 672;;2 038;1 671;2 248;;11,24 *;3,72 *;5,00 *;;8.38;4.59;1.59;;;;
520583079;France;5,95 %;48;110 000 €;B;FB Carré Sénart;20 000 €;2017;2017;11 à 50;;;6;12;;;284;1186;;;N/A;108,8%;;;0% - 5%;20% - 25%;;;;;;0 - 5 %;10 - 15 %;;;;1021;823;;;;;;;1,03;2,99;;;91;241;;;8,91 %;29,28 %;;;;;;;;;;;;;;;;;;;;;;;3,16*;0,94*;;;48,63%;101,45%;;;-141;-48
259151301;Espagne;5,95 %;36;835 000 €;B;PFP TERMOPOLIMEROS SL;553 200 €;2009;2009;11 à 50;;12;12;12;;8847;12132;14982;;N/A;37,13%;23,49%;;1739;2785;3928;;15% - 20%;20% - 25%;25% - 30%;;0 % - 5 %;5 % - 10 %;5 % - 10 %;;11707;13730;18044;;;;;;1,1;1,45;1,91;;1824;2640;4057;;15,58%;19,23%;22,49%;;5517;6326;8043;;6022;6822;9317;;5685;6908;8726;;4030;5253;6531;;4358;4488;3274;;4,78 *;3,46 *;2,37 *;;455,51%;365,31%;229,58%;;;;
37646706;Espagne;4,85 %;24;207 533 €;B+;ARYS DISEÑO Y CONSTRUCCION SL;534 000 €;2002;2002;11 à 50;;12;12;12;;6029;12571;28751;;N/A;108,53%;128,70%;;251;533;1227;;0% - 5%;0% - 5%;0% - 5%;;0 % - 5 %;0 % - 5 %;0 % - 5 %;;8957;12496;15356;;;;;;0,7;1,08;2,69;;1003;1333;1811;;11,19%;10,67%;11,80%;;6388;9354;13140;;1412;1223;1267;;7545;11273;14090;;1730;2044;3199;;1578;1810;405;;12,61 *;6,74 *;2,88 *;;315,46%;269,37%;194,90%;;;;
